ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK0882.DC,猪肉概念,20260522,1185.28,-0.01,概念板块,1.86,8152058917.0
BK1293.DC,营销代理,20260522,5069.17,-0.01,行业板块,5.34,14356727869.0
BK1602.DC,诊断服务,20260522,5469.3,-0.03,行业板块,2.57,1095218164.0
BK0524.DC,参股期货,20260522,31634.25,-0.05,概念板块,1.4,27947361058.0
BK0999.DC,茅指数,20260522,735.91,-0.05,概念板块,1.2,139322702571.0
BK1641.DC,红利股,20260522,967.88,-0.05,概念板块,0.25,40624797189.0
BK0611.DC,上证50_,20260522,2083.1,-0.06,概念板块,0.31,174676043597.0
BK1368.DC,钢铁管材,20260522,684.88,-0.07,行业板块,0.83,239220282.0
BK1253.DC,医疗美容,20260522,1158.18,-0.08,行业板块,0.98,476094977.0
BK1262.DC,乘用车,20260522,4224.11,-0.08,行业板块,0.65,7193879986.0
BK1522.DC,其他运输设备,20260522,1889.85,-0.08,行业板块,2.13,1680693702.0
BK1586.DC,软饮料,20260522,1961.04,-0.08,行业板块,1.37,2538531227.0
BK1610.DC,股份制银行Ⅲ,20260522,2249.79,-0.08,行业板块,0.32,8520019746.0
BK1282.DC,饮料乳品,20260522,2310.53,-0.09,行业板块,1.35,5442796163.0
BK1585.DC,乳品,20260522,2251.61,-0.09,行业板块,1.35,2904264936.0
BK1078.DC,肝炎概念,20260522,1333.51,-0.1,概念板块,2.05,15268532886.0
BK1539.DC,定制家居,20260522,7865.65,-0.1,行业板块,1.9,1599918723.0
BK0604.DC,参股保险,20260522,2697.2,-0.11,概念板块,0.52,27313219567.0
BK0986.DC,CAR-T细胞疗法,20260522,1116.92,-0.11,概念板块,1.61,6893636680.0
BK1666.DC,大盘价值,20260522,960.99,-0.12,概念板块,0.69,137301390479.0
BK1345.DC,商业地产,20260522,1241.18,-0.13,行业板块,0.89,1612193862.0
BK0899.DC,CRO,20260522,1813.52,-0.14,概念板块,2.41,14582952762.0
BK1255.DC,林业Ⅱ,20260522,4964.56,-0.14,行业板块,4.59,1188001126.0
BK1502.DC,林业Ⅲ,20260522,4964.56,-0.14,行业板块,4.59,1188001126.0
BK1475.DC,国际工程,20260522,2819.69,-0.15,行业板块,1.43,882046918.0
BK0437.DC,煤炭,20260522,12785.05,-0.16,行业板块,0.93,9197760687.0
BK0894.DC,阿兹海默,20260522,1873.5,-0.16,概念板块,1.71,2876756967.0
BK0738.DC,多元金融,20260522,632.62,-0.17,行业板块,1.07,6498464073.0
BK0892.DC,乳业,20260522,1054.29,-0.19,概念板块,1.48,5095836789.0
BK1481.DC,港口,20260522,1630.35,-0.19,行业板块,0.43,2137493400.0
BK1594.DC,化学制剂,20260522,3904.02,-0.19,行业板块,1.68,25731184429.0
BK1653.DC,味蕾经济,20260522,929.66,-0.19,概念板块,1.49,25927860402.0
BK1045.DC,房地产服务,20260522,1129.43,-0.2,行业板块,2.06,888595256.0
BK1548.DC,综合电商,20260522,1101.01,-0.2,行业板块,0.48,489961887.0
BK0979.DC,低碳冶金,20260522,966.81,-0.23,概念板块,0.59,1307970107.0
BK1636.DC,红利破净股,20260522,1000.44,-0.23,概念板块,0.22,22733017279.0
BK1270.DC,专业连锁Ⅱ,20260522,1533.93,-0.25,行业板块,2.75,1477100015.0
BK1555.DC,专业连锁Ⅲ,20260522,1533.93,-0.25,行业板块,2.75,1477100015.0
BK1568.DC,人力资源服务,20260522,1975.38,-0.31,行业板块,0.51,141584557.0
BK1459.DC,清洁小家电,20260522,2402.66,-0.32,行业板块,1.6,2491764665.0
BK0450.DC,航运港口,20260522,12180.89,-0.34,行业板块,0.98,11894421140.0
BK1259.DC,养殖业,20260522,3752.2,-0.34,行业板块,1.83,5677995462.0
BK1343.DC,物业管理,20260522,1704.8,-0.34,行业板块,1.98,440310451.0
BK1493.DC,动力煤,20260522,2238.44,-0.34,行业板块,0.67,6337661932.0
BK1519.DC,电动乘用车,20260522,5662.5,-0.35,行业板块,1.19,5510163871.0
BK1356.DC,其他饰品,20260522,612.39,-0.36,行业板块,1.26,78087125.0
BK0475.DC,银行Ⅱ,20260522,4042.08,-0.37,行业板块,0.22,23403872820.0
BK0676.DC,独家药品,20260522,2388.59,-0.37,概念板块,1.09,5498529618.0
BK1283.DC,银行,20260522,4042.08,-0.37,行业板块,0.22,23403872820.0
BK0548.DC,生物疫苗,20260522,26274.09,-0.39,概念板块,1.4,13282735300.0
BK0927.DC,免税概念,20260522,1220.67,-0.39,概念板块,0.64,4702517091.0
BK1348.DC,辅料,20260522,2495.08,-0.39,行业板块,0.95,185534845.0
BK0438.DC,食品饮料,20260522,27508.96,-0.4,行业板块,1.67,31983517121.0
BK1106.DC,创新药,20260522,1434.25,-0.4,概念板块,1.6,48665273964.0
BK1337.DC,品牌消费电子,20260522,3155.19,-0.41,行业板块,1.98,3457735028.0
BK1353.DC,家纺,20260522,4673.1,-0.42,行业板块,1.34,403389026.0
BK1561.DC,旅游综合,20260522,1753.75,-0.43,行业板块,1.94,599015796.0
BK1598.DC,疫苗,20260522,4149.57,-0.43,行业板块,1.37,2469218014.0
BK1612.DC,农商行Ⅲ,20260522,448.81,-0.44,行业板块,0.53,1140396048.0
BK1496.DC,洗护用品,20260522,592.15,-0.45,行业板块,1.48,193327593.0
BK1482.DC,航运,20260522,1603.14,-0.47,行业板块,1.95,9756927740.0
BK1363.DC,信托,20260522,2124.98,-0.48,行业板块,0.93,531571448.0
BK1569.DC,炼油化工,20260522,3418.85,-0.48,行业板块,0.23,5934872983.0
BK1257.DC,农业综合Ⅱ,20260522,2350.71,-0.49,行业板块,1.5,135482620.0
BK1506.DC,农业综合Ⅲ,20260522,2350.71,-0.49,行业板块,1.5,135482620.0
BK1254.DC,动物保健Ⅱ,20260522,4447.24,-0.5,行业板块,1.26,809947778.0
BK1276.DC,油气开采Ⅱ,20260522,3894.4,-0.5,行业板块,0.8,1771604898.0
BK1501.DC,动物保健Ⅲ,20260522,4447.24,-0.5,行业板块,1.26,809947778.0
BK1511.DC,肉鸡养殖,20260522,3230.77,-0.5,行业板块,1.28,684018826.0
