ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
883301.TI,上证50样本股,N,20260522,0.0887,,2923.52,52383259.0
886018.TI,高压氧舱,N,20260522,0.0733,,1222.404,1363567.8
886101.TI,兵装重组概念,N,20260522,0.0667,,1220.715,1110771.91
885856.TI,仿制药一致性评价,N,20260522,0.057,,1631.165,20349673.0
885769.TI,细胞免疫治疗,N,20260522,0.0414,,1151.532,7555427.5
886045.TI,同花顺中特估100,N,20260522,-0.0001,,1185.139,80644399.0
885852.TI,青蒿素,N,20260522,-0.0154,,1925.372,1271399.16
886056.TI,阿尔茨海默概念,N,20260522,-0.0647,,1242.346,7282114.7
886051.TI,减肥药,N,20260522,-0.0865,,1346.701,8818830.8
886015.TI,创新药,N,20260522,-0.1298,,1275.643,32537168.0
885758.TI,租售同权,N,20260522,-0.1304,,827.754,13369796.2
885767.TI,互联网保险,N,20260522,-0.27,,1017.04,10356057.5
885508.TI,禽流感,N,20260522,-0.3898,,2196.357,4128549.1
885573.TI,猪肉,N,20260522,-0.4141,,2395.463,8908519.5
885570.TI,期货概念,N,20260522,-0.4381,,1797.204,40940085.0
885808.TI,养鸡,N,20260522,-0.4473,,1180.189,2871464.9
885846.TI,动物疫苗,N,20260522,-0.4731,,1425.805,3296844.6
885845.TI,生物疫苗,N,20260522,-0.5939,,1645.875,7998814.4
